gene	transcript	protein_change	score	pvalue	qvalue	info
VHL	ENST00000256474	.	.	9.99990000099999e-06	0.0107018929810702	.
ATM	ENST00000278616	.	.	9.99990000099999e-06	0.0107018929810702	.
NF1	ENST00000358273	.	.	9.99990000099999e-06	0.0107018929810702	.
MTOR	ENST00000361445	.	.	9.99990000099999e-06	0.0107018929810702	.
KDM5C	ENST00000375401	.	.	9.99990000099999e-06	0.0107018929810702	.
PBRM1	ENST00000394830	.	.	9.99990000099999e-06	0.0107018929810702	.
SETD2	ENST00000409792	.	.	9.99990000099999e-06	0.0107018929810702	.
SMARCA4	ENST00000429416	.	.	9.99990000099999e-06	0.0107018929810702	.
BAP1	ENST00000460680	.	.	9.99990000099999e-06	0.0107018929810702	.
KIF1A	ENST00000498729	.	.	9.99990000099999e-06	0.0107018929810702	.
TP53	ENST00000269305	.	.	1.9999800002e-05	0.0194579872383095	.
PTEN	ENST00000371953	.	.	2.9999700003e-05	0.024696676110162	.
CACNA1F	ENST00000376265	.	.	2.9999700003e-05	0.024696676110162	.
COL4A5	ENST00000328300	.	.	3.9999600004e-05	0.0285383812828539	.
ATG7	ENST00000354449	.	.	3.9999600004e-05	0.0285383812828539	.
ATRX	ENST00000373344	.	.	0.000119998800012	0.0802641973580265	.
ACTG1	ENST00000575842	.	.	0.000159998400016	0.100723698645367	.
COL6A2	ENST00000300527	.	.	0.000409995900041	0.243765340124377	.
EDIL3	ENST00000296591	.	.	0.000519994800051999	0.292893913166131	.
SLC12A2	ENST00000262461	.	.	0.000649993500064999	0.347811521884781	.
CACNA1E	ENST00000367573	.	.	0.000919990800091999	0.466991693719426	.
GLB1	ENST00000307363	.	.	0.000959990400095999	0.466991693719426	.
SPSB3	ENST00000566339	.	.	0.001119988800112	0.521135658208636	.
MYH7	ENST00000355349	.	.	0.001279987200128	0.570767625657077	.
ZMYM4	ENST00000314607	.	.	0.001369986300137	0.586463735362647	.
C8orf34	ENST00000518698	.	.	0.001539984600154	0.633881353494158	.
CPB1	ENST00000491148	.	.	0.001719982800172	0.645565802406493	.
MAX	ENST00000358664	.	.	0.001769982300177	0.645565802406493	.
COLCA2	ENST00000398035	.	.	0.001809981900181	0.645565802406493	.
F8	ENST00000360256	.	.	0.001819981800182	0.645565802406493	.
SCN5A	ENST00000413689	.	.	0.001869981300187	0.645565802406493	.
SHH	ENST00000297261	.	.	0.0019999800002	0.668868311316888	.
GABRG2	ENST00000414552	.	.	0.002079979200208	0.673589734690889	.
ARHGEF25	ENST00000333972	.	.	0.002139978600214	0.673589734690889	.
FGFR3	ENST00000340107	.	.	0.002469975300247	0.737241516473725	.
METTL4	ENST00000574538	.	.	0.002479975200248	0.737241516473725	.
ATP8A2	ENST00000381655	.	.	0.00259997400026	0.746316221048317	.
MAP3K1	ENST00000399503	.	.	0.002649973500265	0.746316221048317	.
PPEF1	ENST00000361511	.	.	0.002719972800272	0.746388433551563	.
SLITRK4	ENST00000381779	.	.	0.00281420611245568	0.752940845387517	.
PLD3	ENST00000409587	.	.	0.003089969100309	0.806375192062034	.
ABCA4	ENST00000370225	.	.	0.003169968300317	0.806375192062034	.
RBL2	ENST00000262133	.	.	0.003239967600324	0.806375192062034	.
PAH	ENST00000553106	.	.	0.003559964400356	0.839865949166596	.
CDH2	ENST00000269141	.	.	0.003569964300357	0.839865949166596	.
COL11A1	ENST00000370096	.	.	0.003609963900361	0.839865949166596	.
TLR8	ENST00000218032	.	.	0.003779962200378	0.860705435498837	.
NOS2	ENST00000313735	.	.	0.003919960800392	0.8739879267874	.
TXNDC5	ENST00000379757	.	.	0.004279957200428	0.927497391692751	.
OCRL	ENST00000371113	.	.	0.004389956100439	0.927497391692751	.
CACNA1C	ENST00000347598	.	.	0.004419955800442	0.927497391692751	.
TP53BP1	ENST00000382044	.	.	0.00479995200048	0.970953563191642	.
WRAP73	ENST00000270708	.	.	0.004869951300487	0.970953563191642	.
CUL1	ENST00000325222	.	.	0.00491995080049199	0.970953563191642	.
AASS	ENST00000393376	.	.	0.004989950100499	0.970953563191642	.
FBN1	ENST00000316623	.	.	0.00529994700052999	1	.
SOX4	ENST00000244745	.	.	0.00558994410055899	1	.
CLUH	ENST00000570628	.	.	0.00574994250057499	1	.
GALT	ENST00000378842	.	.	0.00575994240057599	1	.
ISL1	ENST00000230658	.	.	0.00581994180058199	1	.
CECR1	ENST00000399839	.	.	0.00582994170058299	1	.
SLC6A3	ENST00000270349	.	.	0.00616993830061699	1	.
DNTT	ENST00000371174	.	.	0.00617993820061799	1	.
WNK3	ENST00000354646	.	.	0.00664993350066499	1	.
STAT4	ENST00000392320	.	.	0.00665993340066599	1	.
ANKS1B	ENST00000547776	.	.	0.00670993290067099	1	.
SLITRK2	ENST00000370490	.	.	0.00671140939597315	1	.
HNF1B	ENST00000225893	.	.	0.00673993260067399	1	.
RAB9A	ENST00000464506	.	.	0.00711992880071199	1	.
TAS2R50	ENST00000506868	.	.	0.00726992730072699	1	.
ZDHHC9	ENST00000357166	.	.	0.00785992140078599	1	.
GRIA3	ENST00000264357	.	.	0.00836991630083699	1	.
