gene	transcript	protein_change	score	pvalue	qvalue	info
ANK3	ENST00000503366	.	.	7.55542303096449e-05	0.0551923652411956	.
ATR	ENST00000350721	.	.	5.4539082579296e-05	0.0551923652411956	.
ARHGEF2	ENST00000361247	.	.	0.000181609930525782	0.059688540740415	.
PBRM1	ENST00000394830	.	.	0.00020427289781114	0.059688540740415	.
RAB11FIP1	ENST00000330843	.	.	0.0001765763238373	0.059688540740415	.
RBM10	ENST00000377604	.	.	0.000260295745363452	0.0633820139960005	.
BRCA1	ENST00000471181	.	.	0.000306634608373319	0.0639990232619171	.
ADRM1	ENST00000253003	.	.	0.000611783670662335	0.0712114139328906	.
AGAP1	ENST00000304032	.	.	0.00115797172618987	0.0712114139328906	.
ARAP3	ENST00000239440	.	.	0.000554745718078426	0.0712114139328906	.
ATF7IP	ENST00000261168	.	.	0.00203142034753395	0.0712114139328906	.
BCL7A	ENST00000538010	.	.	0.00125955953178557	0.0712114139328906	.
BEGAIN	ENST00000443071	.	.	0.00159947453542129	0.0712114139328906	.
BRAF	ENST00000288602	.	.	0.00204669411143341	0.0712114139328906	.
CNTRL	ENST00000373855	.	.	0.00147154286775723	0.0712114139328906	.
DES	ENST00000373960	.	.	0.0014575601358546	0.0712114139328906	.
DGCR8	ENST00000351989	.	.	0.00209588692615626	0.0712114139328906	.
DNTTIP2	ENST00000436063	.	.	0.00148809522392551	0.0712114139328906	.
EP300	ENST00000263253	.	.	0.0010201343831844	0.0712114139328906	.
FANCD2	ENST00000287647	.	.	0.00080253555437084	0.0712114139328906	.
FOXA1	ENST00000250448	.	.	0.000562525041071136	0.0712114139328906	.
FOXP4	ENST00000373060	.	.	0.00169083129211329	0.0712114139328906	.
HIST1H1E	ENST00000304218	.	.	0.000483541462531469	0.0712114139328906	.
HSPA2	ENST00000247207	.	.	0.00170761036623361	0.0712114139328906	.
MYPN	ENST00000358913	.	.	0.001986097275511	0.0712114139328906	.
NCKAP1	ENST00000360982	.	.	0.000899969959318284	0.0712114139328906	.
NKTR	ENST00000232978	.	.	0.00096773834511671	0.0712114139328906	.
NPAT	ENST00000278612	.	.	0.00205054727575181	0.0712114139328906	.
OSBPL10	ENST00000396556	.	.	0.00187853432775046	0.0712114139328906	.
PLXNB2	ENST00000449103	.	.	0.00153079837463644	0.0712114139328906	.
PPFIA1	ENST00000253925	.	.	0.00195691745794309	0.0712114139328906	.
PPP2R1B	ENST00000311129	.	.	0.00151183020490668	0.0712114139328906	.
PROX1	ENST00000366958	.	.	0.00187040127264133	0.0712114139328906	.
RBM38	ENST00000356208	.	.	0.00145258760443335	0.0712114139328906	.
RCC2	ENST00000375436	.	.	0.00165927957178921	0.0712114139328906	.
SCNN1A	ENST00000360168	.	.	0.000409501262363519	0.0712114139328906	.
SMC1A	ENST00000322213	.	.	0.0012150668155594	0.0712114139328906	.
SRRM2	ENST00000301740	.	.	0.000809985485804825	0.0712114139328906	.
SUPT6H	ENST00000314616	.	.	0.000980235872917563	0.0712114139328906	.
SYNE1	ENST00000367255	.	.	0.00119148447581736	0.0712114139328906	.
SYNE2	ENST00000358025	.	.	0.00153244105306087	0.0712114139328906	.
WRAP53	ENST00000316024	.	.	0.00116763798482322	0.0712114139328906	.
ZAP70	ENST00000264972	.	.	0.00185835693133217	0.0712114139328906	.
MEPCE	ENST00000310512	.	.	0.00222945913244458	0.072383106500034	.
ZBTB40	ENST00000404138	.	.	0.00219776376857957	0.072383106500034	.
GATA3	ENST00000379328	.	.	0.00235502413450292	0.0747976143588863	.
AHNAK	ENST00000378024	.	.	0.00253142854266928	0.0758909694609056	.
BEST1	ENST00000449131	.	.	0.00254528234331579	0.0758909694609056	.
SLC12A1	ENST00000396577	.	.	0.00254528234180616	0.0758909694609056	.
SASH1	ENST00000367467	.	.	0.0028526896812815	0.0817211691049465	.
STAU1	ENST00000371856	.	.	0.00281130017086107	0.0817211691049465	.
GNA13	ENST00000439174	.	.	0.00294102903868025	0.0826316043367663	.
PYGB	ENST00000216962	.	.	0.00304304673242687	0.0838847410580312	.
CDC42BPG	ENST00000342711	.	.	0.0031632134689678	0.0840264523302175	.
PABPC1	ENST00000318607	.	.	0.00315876463181667	0.0840264523302175	.
CTNND2	ENST00000304623	.	.	0.00337671176923456	0.0880959981223516	.
NEGR1	ENST00000357731	.	.	0.00344890320456273	0.0884008347695816	.
HLA-C	ENST00000376228	.	.	0.0037206687475308	0.0937223627610776	.
CD320	ENST00000301458	.	.	0.00389242328134644	0.0947805069007857	.
TBL1XR1	ENST00000430069	.	.	0.00387642464592552	0.0947805069007857	.
VPS13D	ENST00000358136	.	.	0.00399827565445939	0.0957619791994289	.
NEK1	ENST00000507142	.	.	0.00429408285340947	0.0966438202163026	.
PCNXL3	ENST00000355703	.	.	0.00424439238101119	0.0966438202163026	.
PEX19	ENST00000368072	.	.	0.0044052862803941	0.0966438202163026	.
POF1B	ENST00000262753	.	.	0.00443198901744851	0.0966438202163026	.
SMCR8	ENST00000406438	.	.	0.0042152370655872	0.0966438202163026	.
STX16	ENST00000371141	.	.	0.0043758167402696	0.0966438202163026	.
CTPS2	ENST00000443824	.	.	0.0047544570031985	0.0992323097381859	.
PLCB1	ENST00000338037	.	.	0.00469655915897379	0.0992323097381859	.
UNC13A	ENST00000519716	.	.	0.00469957236629592	0.0992323097381859	.
FAM50A	ENST00000393600	.	.	0.00505050496797392	0.102483163308471	.
TNFAIP3	ENST00000237289	.	.	0.00501122976164028	0.102483163308471	.
BRD3	ENST00000303407	.	.	0.00523664224245393	0.104804579674318	.
APBA2	ENST00000558402	.	.	0.00569552561563841	0.106681575954458	.
ITGB4	ENST00000200181	.	.	0.00564635523778485	0.106681575954458	.
MLLT4	ENST00000507704	.	.	0.00549956730806688	0.106681575954458	.
SERPINH1	ENST00000524558	.	.	0.00553731977477284	0.106681575954458	.
STAB2	ENST00000388887	.	.	0.00564660296811542	0.106681575954458	.
FLG	ENST00000368799	.	.	0.00630609534264943	0.115165066195135	.
TTYH2	ENST00000269346	.	.	0.00625497774485425	0.115165066195135	.
FAF1	ENST00000396153	.	.	0.00658523021295741	0.118778041248528	.
JUNB	ENST00000302754	.	.	0.00709530759208139	0.12489451074736	.
PPM1J	ENST00000309276	.	.	0.00705339841288343	0.12489451074736	.
SRGAP1	ENST00000355086	.	.	0.00756558581208469	0.130124496963285	.
TAOK1	ENST00000261716	.	.	0.00757055594926712	0.130124496963285	.
HBG1	ENST00000330597	.	.	0.00785002639948295	0.131398577130576	.
PHKA1	ENST00000373542	.	.	0.00787880039847735	0.131398577130576	.
RAB8A	ENST00000300935	.	.	0.00791449335214967	0.131398577130576	.
MVD	ENST00000301012	.	.	0.00812778444673689	0.133423517715535	.
LRRK2	ENST00000298910	.	.	0.00829847034616374	0.134711835286058	.
CASR	ENST00000498619	.	.	0.0085162552998975	0.135440842847722	.
PPID	ENST00000307720	.	.	0.00852878681861085	0.135440842847722	.
TNS1	ENST00000171887	.	.	0.00874403789781341	0.137366014717262	.
RPL3	ENST00000216146	.	.	0.00883921021909716	0.137383895001074	.
FAT1	ENST00000441802	.	.	0.00912098313055272	0.140271119513027	.
AP1M1	ENST00000444449	.	.	0.00927661995397478	0.141178559924554	.
GLS	ENST00000320717	.	.	0.00983572658738989	0.148144294269862	.
CILP2	ENST00000291495	.	.	0.00996486329152972	0.148557808866581	.
PIP4K2B	ENST00000269554	.	.	0.0104631610895424	0.154410892442641	.
KIAA0226	ENST00000296343	.	.	0.0110930891999622	0.162070033211448	.
CRISP3	ENST00000433368	.	.	0.0115351495553115	0.166770148154705	.
RNF219	ENST00000282003	.	.	0.0116430904255852	0.166770148154705	.
RBM15B	ENST00000323686	.	.	0.0121327365084271	0.17209638872633	.
PKN2	ENST00000370521	.	.	0.0124321362687828	0.174647606622035	.
SH3GL3	ENST00000427482	.	.	0.0125814539625869	0.175061945136566	.
NUAK1	ENST00000261402	.	.	0.0130164282430653	0.179405676067155	.
ELAVL1	ENST00000407627	.	.	0.0133149021421889	0.181804411492879	.
LRRFIP2	ENST00000421307	.	.	0.0143526601551898	0.194159597099373	.
HIST1H2BM	ENST00000359465	.	.	0.0145817879993247	0.194776244723875	.
MYH1	ENST00000226207	.	.	0.0146648781106271	0.194776244723875	.
CXCR4	ENST00000409817	.	.	0.0150093639305585	0.195791791987018	.
PLD1	ENST00000351298	.	.	0.0148806293252148	0.195791791987018	.
ARMC5	ENST00000268314	.	.	0.015313067153066	0.197985762040968	.
CHRM3	ENST00000255380	.	.	0.015705576402014	0.199529105420369	.
EBNA1BP2	ENST00000431635	.	.	0.0156369297946294	0.199529105420369	.
ARFGEF1	ENST00000262215	.	.	0.0166795113224668	0.208280051642085	.
CRTC3	ENST00000268184	.	.	0.0165745854813733	0.208280051642085	.
MAP1B	ENST00000296755	.	.	0.0168590585556576	0.208738004659455	.
DCTPP1	ENST00000319285	.	.	0.0172926460527605	0.209080173067471	.
IKBKB	ENST00000520810	.	.	0.0173160170712964	0.209080173067471	.
NINL	ENST00000278886	.	.	0.0171070869082446	0.209080173067471	.
BAIAP2L1	ENST00000005260	.	.	0.0180163078085275	0.215752669739825	.
TBCB	ENST00000221855	.	.	0.0192167805691322	0.228257857004082	.
DSC3	ENST00000360428	.	.	0.0198712247489545	0.234127898050182	.
ZC3H7A	ENST00000396516	.	.	0.0203724961500458	0.238113735001735	.
ARIH2	ENST00000356401	.	.	0.0206517332070333	0.239461763614886	.
SKP1	ENST00000353411	.	.	0.0225171004881293	0.257011592290289	.
ZNF608	ENST00000306315	.	.	0.0224696075748903	0.257011592290289	.
EGR1	ENST00000239938	.	.	0.0236476622070126	0.265763342188042	.
TMSB4X	ENST00000380636	.	.	0.0236355687264641	0.265763342188042	.
SH3BGRL2	ENST00000369838	.	.	0.0242320358922365	0.270251942279065	.
GRHPR	ENST00000318158	.	.	0.0252387472271381	0.277246689465028	.
METTL1	ENST00000324871	.	.	0.0251859992846371	0.277246689465028	.
REEP4	ENST00000306306	.	.	0.0267283986232841	0.291419331258344	.
SPAG5	ENST00000321765	.	.	0.0287418802010771	0.311051014620545	.
KLF2	ENST00000248071	.	.	0.0302695964082239	0.325175590826582	.
CDK13	ENST00000181839	.	.	0.0314814809496509	0.333573403598506	.
PARK2	ENST00000366898	.	.	0.0315079600934934	0.333573403598506	.
HIST2H2AB	ENST00000331128	.	.	0.0318756889890726	0.33503871664054	.
PIM1	ENST00000373509	.	.	0.0328181460345648	0.342480795403565	.
HIST4H4	ENST00000539745	.	.	0.0333303879792484	0.34469292712114	.
LIMD1	ENST00000273317	.	.	0.0335019819652305	0.34469292712114	.
UBQLN2	ENST00000338222	.	.	0.0341212857538447	0.348609779624945	.
HIST2H2BE	ENST00000369155	.	.	0.0344309258210078	0.349330434892309	.
GLYR1	ENST00000321919	.	.	0.0355433402833418	0.358129794165258	.
EPHA3	ENST00000336596	.	.	0.0369954903597772	0.367689873575745	.
